2004|Ed39|amandolese2004rp-1|An experimental study of the acoustic oscillations by flows over cavities|Auamandolese Auhemon Auregardin|Stpub|126|190|195|Rsno|Pppd|Dr8|Kw14|
2006|Ed6|fransson2006rp-1|Delaying Transition to Turbulence by a Passive Mechanism|Aufransson Autalamelli Aubrandt Aucossu|Stpub|96&#44; 064501|1|4|Rsno|Pppd|Dr9||
1996|Ed16|chomaz1996rp-2|Stratified flow over three-dimensional topography|Auchomaz Aukadri Aubonneton Auperrier|Stpub|23|321|334|Rsno|Pppd|Dr4||
1996|Ed17|manneville1996rp-2|Phase diagram of the two-dimensional complex Ginzburg-Landau equation|Aumanneville Auchate|Stpub|224|348|368|Rsno|Pppd|Dr2||
1997|Ed20|manneville1997rp-2|Local versus global concepts in hydrodynamic stability theory|Aumanneville Audauchot|Stpub|7|371|389|Rsno|Pppd|Dr2||
1998|Ed12|manneville1998rp-1|Experimental evidence of streamwise vortices as finite amplitude solutions in transitional plane Couette flow|Aumanneville Aubottin Audauchot Audaviaud|Stpub|10|2597|2607|Rsno|Pppd|Dr2||
1999|Ed32|delangre1999rp-1|The measurement of fluidelastic forces at low reduced velocities using piezoelectric actuators|Aucaillaud Audelangre Aupiteau|Stpub|121|232|238|Rsno|Pppd|Dr5||
1999|Ed29|delangre1999rp-2|Absolute and convective bending instabilities in fluid-conveying pipes|Audelangre Auouvrard|Stpub|13|663|680|Rsno|Pppd|Dr5||
2000|Ed29|cossu2000rp-2|On the instability of a spring-mounted circular cylinder in a viscous flow at low Reynolds numbers|Aucossu Aumorino|Stpub|14|183|196|Rsno|Pppd|Dr5||
2000|Ed12|cossu2000rp-3|Spatio-temporal development of the long- and short-wave vortex pair instabilities|Aufabre Aujacquin Aucossu|Stpub|12|1247|1250|Rsno|Pppd|Dr1||
2000|Ed10|delangre2000rp-1|A probabilistic approach of the dynamics of wear tests|Audelaune Auphalippou Audelangre|Stpub|122|815|821|Rsno|Pppd|Dr5|Kw5|
