2016|H.&nbsp;A.&nbsp;Stone and C.&nbsp;Duprat.|Model Problems Coupling Elastic Boundaries and Viscous Flows|Fluids&nbsp;Structure&nbsp;Interactions&nbsp;in&nbsp;Low-Reynolds&nbsp;Number&nbsp;Flow,|4:78-99|||
2016|N.&nbsp;Taccoen, F.&nbsp;Lequeux, D.&nbsp;Z.&nbsp;Gunes and C.&nbsp;Baroud.|Probing the Mechanical Strength of an Armored Bubble and Its Implication to Particle-Stabilized Foams|Physical&nbsp;Review&nbsp;X,|6 - 011010||taccoen2016rp-1pp.pdf|
2016|L.&nbsp;Tadrist and B.&nbsp;Darbois-Texier.|Are leaves optimally designed for self-support&#63; An investigation on giant monocots|Journal&nbsp;of&nbsp;Theoretical&nbsp;Biology,|396:125-131|||
2016|E.&nbsp;Virot, X.&nbsp;Amandolèse and P.&nbsp;Hémon.|Coupling between a flag and a spring-mass oscillator|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|65:447-454||virot2016rp-1pp.pdf|
2016|E.&nbsp;Virot, A.&nbsp;Ponomarenko, E.&nbsp;Dehandschoewercker, D.&nbsp;Quere and C.&nbsp;Clanet.|Critical wind speed at which trees break|Physical&nbsp;Review&nbsp;E,|93 - issue 2 - 023001|||
2016|Y.&nbsp;Xia, O.&nbsp;Doaré and S.&nbsp;Michelin.|Electro-hydrodynamic synchronization of piezoelectric flags|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|65:398-410||xia2016rp-1pp.pdf|
2016|Y.&nbsp;Xia, S.&nbsp;Michelin and O.&nbsp;Doaré.|Resonance-induced enhancement of the energy harvesting performance of piezoelectric flags|Applied&nbsp;Physics&nbsp;Letters,|107 - 263901||xia2016rp-2pp.pdf|
2016|E.&nbsp;Yim and P.&nbsp;Billant.|Analogies and differences between the stability of an isolated pancake vortex and a columnar vortex in stratified fluid|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|796:732-766||yim2016rp-1pp.pdf|
2016|E.&nbsp;Yim, P.&nbsp;Billant and C.&nbsp;Menesguen.|Stability of an isolated pancake vortex in stratified-rotating fluids|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|801:508-553||yim2016rp-2pp.pdf|
2015|G.&nbsp;Amselem, P.-T.&nbsp;Brun, F.&nbsp;Gallaire and C.&nbsp;Baroud.|Breaking anchored droplets in a microfluidic Hele-Shaw cell|Physical&nbsp;Review&nbsp;Applied,|3 - 054006|||
