Aubrun|Brun P.-T.|P.-T. Brun
Aubrunel|Brunel Eric|E. Brunel
Aubrunet|Brunet Yves|Y. Brunet
Auburnham|Burnham Daniel R.|D. R. Burnham
Aubuschv|Busch-Vishniac Ilene|I. Busch-Vishniac
Aubush|Bush John|J. Bush
Aubutet|Butet Alain|A. Butet
Aucaillaud|Caillaud Sébatien|S. Caillaud
Aucampbell|Campbell P. A.|P. A. Campbell
Aucamporeale|Camporeale C.|C. Camporeale
Aucaulfield|Caulfield Colm-Cille Patrick|C. P. Caulfield
Auchandler|Chandler G. J.|G. J. Chandler
Aucharles|Charles M.|M. Charles
Auchate|Chaté Hugues|H. Chaté
Auchevalier|Chevalier Mattias|M. Chevalier
Auchevy|Chevy F.|F. Chevy
Auchissey|Chissey A.|A. Chissey
Auchoi|Choi S-Y.|S-Y. Choi
Auchomaz|Chomaz Jean-Marc|J. M. Chomaz
Auchoquel|Choquel Maxime|M. Choquel
Auchoueib|Choueib M.|M. Choueib
Auclanet|Clanet Christophe|C. Clanet
Aucockenpot|Cockenpot H.|H. Cockenpot
Aucohen|Cohen Caroline|C. Cohen
Aucohenj|Cohen J.|J. cohen
Aucombettes|Combettes L.|L. Combettes
Auconstantinescu|Constantinescu Andrei|A. Constantinescu
Aucooper|Cooper J. M.|J. M. Cooper
Aucordero|Cordero Maria-Luisa|M. A. Cordero
Aucornat|Cornat Fran&ccedil;ois|F. Cornat
Aucossu|Cossu Carlo|C. Cossu
Aucosse|Cossé Julia|J. Cossé
Aucosta|Costa Michela|M. Costa
Aucouairon|Couairon Arnaud|A. Couairon
Aucoullet|Coullet Pierre|P. Coullet
Aucournede|Cournede P-H.|P-H.
Aucoutand|Coutand C.|C. Coutand
Aucrighton|Crighton David George|D. G. Crighton
Auczarny|Czarny Olivier|O. Czarny
Ausilva|Da Silva N.|N. Da Silva
Audandois|Dandois J.|J. Dandois
Audangla|Dangla Rémi|R. Dangla
Audarboistexier|Darbois-Texier Baptiste|B. Darbois-Texier
Audaube|Daube Olivier|O. Daube
Audauchot|Dauchot Olivier|O. Dauchot
Audaviaud|Daviaud Fran&ccedil;ois|F. Daviaud
Aucanio|De Canio Gabriele|G. De Canio
Audelangre|de Langre Emmanuel|E. de Langre
Aumaleprade|de Maleprade H.|H. de Maleprade
Auvincent|de Saint Vincent Robert|R. de Saint Vincent
Audehandschoewercker|Dehandschoewercker Eline|E. Dehandschoewercker
Audelaune|Delaune Xavier|X. Delaune
Audelbende|Delbende Ivan|I. Delbende
Audeloison|Deloison B.|B. Deloison
Audeloncle|Deloncle Axel|A. Deloncle
Audeloron|Deloron P.|P. Deloron
Audelour|Delour Jean|J. Delour
Audelville|Delville Jean-Pierre|J. P. Delville
Audepardon|Depardon S.|S. Depardon
Auloughian|Der Loughian Christelle|C. Der Loughian
Audergham|Dergham G.|G. Dergham
Audhal|Dhal J. B.|J. B. Dhal
Audiener|Diener Julien|J. Diener
Audilman|Dilman V. V.| V. V. Dilman
Audoare|Doaré Olivier|O. Doaré
Audogniaux|Dogniaux S.|S. Dogniaux
Audonnadieu|Donnadieu Claire|C. Donnadieu
Audones|Donès Nicolas|N. Donès
Audoppler|Doppler L.|L. Doppler
Audotiwala|Dotiwala F.|F. Dotiwala
Audovetta|Dovetta Nicolas|N. Dovetta
Audritschel|Dritschel D.|D. Dritschel
Audrobinski|Drobinski P.|P. Drobinski
Audrogue|Drogue Benoît|B. Drogue
Auroure|du Roure Olivia|O. du Roure
Audubois|Dubois Thierry|T. Dubois
Auviolette|Dubois-Violette Elisabeth|E. Dubois-Violette
Audubos|Dubos Thomas|T. Dubos
Audubrulle|Dubrulle Bérengère|B. Dubrulle
Auduclaux|Duclaux V.|V. Duclaux
Auduez|Duez C.|C. Duez
Auduguet|Duguet Y.|Y. Duguet
Audupeux|Dupeux Guillaume|G. Dupeux
Audupont|Dupont Pascal|P. Dupont
Auduponts|Dupont Sylvain|S. Dupont
Auduprat|Duprat Camille|C. Duprat
Audupuiswilliams|Dupuis-Williams P.|P. Dupuis-Williams
Aueckelmann|Eckelmann H.|H. Eckelmann
Auekieljezewska|Ekiel-Jezewska M. L.|M. L. Ekiel-Jezewska
Aueloy|Eloy Christophe|C. Eloy
Auetienne|Etienne Stéphane|S. Etienne
Auevain-brion|Evain-Brion D.|D. Evain-Brion
Aufabre|Fabre David|D. Fabre
Aumatteo|Facchinetti Matteo|M. Facchinetti
Aufaranda|Faranda Davide|D. Faranda
Aufarge|Farge M.|M. Farge
Aufeuillebois|Feuillebois F.|F. Feuillebois
Aufigliuzzi|Figliuzzi B.|B. Figliuzzi
Aufisch|Fisch C.|C. Fisch
Auflamant|Flamant P. H.|P. H. Flamant
Auflor|Flor Jan-Bert|J. B. Flor
Aufontaine|Fontaine Emmanuel|E. Fontaine
Aupando|Fosas de Pando Miguel Angel|M. A. Fosas de Pando
Aufoures|Foures Dimitry|D. Foures
Aufourniert|Fournier T.|T. Fournier
Aufournierleblanc|Fournier-Leblanc N.|N. Fournier-Leblanc
Aufrachisse|Frachisse J. M.|J. M. Frachisse
Aufrachon|Frachon H.|H. Frachon
Aufradet|Fradet Etienne|E. Fradet
Aufranchel|Franchel G.|G. Franchel
Aufransson|Fransson Jens H. M.|J. H. M. Fransson
Aufricout|Fricout G.|G. Fricout
Aufrot|Frot Caroline|C. Frot
Aufugmann|Fugmann H.|H. Fugmann
Aufunfak|Funfak Anette|A. Funfak
Augallaire|Gallaire Fran&ccedil;ois|F. Gallaire
Augaltier|Galtier S.|S. Galtier
Augvillalba|Garcia-Villalba M.|M. Garcia-Villalba
Augarnaud|Garnaud Xavier|X. Garnaud
Augauthier|Gauthier Anaïs|A. Gauthier
Aughil|Ghil Michael|M. Ghil
Augiannone|Giannone G.|G. Giannone
Augodoy|Godoy-Diana Ramiro|R. Godoy-Diana
Augonzalez|Gonzalez-Rodriguez David|D. Gonzalez-Rodriguez
Augosselin|Gosselin Frederick|F. Gosselin
Augouget|Gouget Cécile|C. Gouget
Augourcilleau|Gourcilleau D.|D. Gourcilleau
Augouttenoire|Gouttenoire V.|V. Gouttenoire
Augraham|Graham J. M. R.|J. M. R. Graham
Augrilli|Grilli M.|M. Grilli
Augrouthier|Grouthier Clément|C. Grouthier
Auguazzelli|Guazzelli Ellisabeth|E. Guazzelli
Auguemas|Guemas Marine|M. Guemas
Auguermond|Guermond Jean-Luc|J. L. Guermond
Auguermonprez|Guermonprez Cyprien|C. Guermonprez
Auguibourdenche|Guibourdenche J.|J. Guibourdenche
Auguillot|Guillot D.|D. Guillot
Auguillou|Guillou Lionel|L. Guillou
Augunes|Gunes Denis Z.|D. Z. Gunes
Augutfraind|Gutfraind R.|R. Gutfraind
Augutierrez|Gutierrez A|A. Gutierrez
Auguegan|Guégan Alan|A. Guégan
Auhaddad|Haddad B.|B. Haddad
Auhall|Hall B.|B. Hall
Auhamel|Hamel Amandine|A. Hamel
Auhansen|Hansen R.|R. Hansen
Auhardt|Hardt S.|S. Hardt
Auheaton|Heaton Christopher|C. Heaton
Auheil|Heil Matthias|M. Heil
Auhenningson|Henningson Dan S.|D. S. Henningson
Auherbert|Herbert S.|S. Herbert
Auhervea|Herve A.|A. Herve
Auhickel|Hickel S.|S. Hickel
Auhivroz|Hivroz Claire|C. Hivroz
Auhoepffner|Hoepffner Jérôme|J. Hoepffner
Auhof|Hof B.|B. Hof
Auhogan|Hogan Brenna|B. Hogan
Auhollands|Hollands Martin|M. Hollands
Auhollfelder|Hollfelder F.|F. Hollfelder
Auhopfinger|Hopfinger Emil|E. Hopfinger
Auhuck|Huck W.|W. Huck
Auhuebner|Huebner A.|A. Huebner
Auhuerre|Huerre Patrick|P. Huerre
Auhure|Hure J.|J. Hure
Auhuse|Huse M.|M. Huse
Auhusson|Husson Julien|J. Husson
Auhwang|Hwang Yongyun|Y. Hwang
Auhemon|Hémon Pascal|P. Hémon
Auide|Ide Kayo|K. Ide
Auizri|Izri Z.|Z. Izri
Aujacquin|Jacquin Laurent|L. Jacquin
Aujames|James J.|J. James
